t,ex,ey,ez
1613570886339,79.46,-0.1,0.31
1613570886339,79.46,-0.1,0.31
1613570886340,79.46,-0.1,0.31
1613570886341,79.46,-0.1,0.31
1613570886341,79.46,-0.1,0.31
1613570886341,79.46,-0.1,0.31
1613570886341,79.46,-0.1,0.31
1613570886341,79.46,-0.1,0.31
1613570886341,79.46,-0.1,0.31
1613570886341,79.46,-0.1,0.31
1613570886341,79.46,-0.1,0.31
1613570886341,79.46,-0.1,0.31
1613570886341,79.48,0.22,0.16
1613570886379,79.48,0.22,0.16
1613570886379,79.48,0.22,0.16
1613570886379,79.48,0.22,0.16
1613570886380,79.48,0.22,0.16
1613570886380,79.48,0.22,0.16
1613570886380,79.48,0.22,0.16
1613570886381,79.48,0.22,0.16
1613570886381,79.48,0.22,0.16
1613570886381,79.48,0.22,0.16
1613570886381,79.48,0.22,0.16
1613570886381,79.48,0.22,0.16
1613570886381,79.48,0.22,0.16
1613570886381,79.48,0.22,0.16
1613570886381,79.48,0.22,0.16
1613570886381,79.48,0.22,0.16
1613570886381,79.48,0.22,0.16
1613570886381,79.48,0.22,0.16
1613570886381,79.49,0.32,-0.16
1613570886420,79.49,0.32,-0.16
1613570886420,79.49,0.32,-0.16
1613570886420,79.49,0.32,-0.16
1613570886420,79.49,0.32,-0.16
1613570886420,79.49,0.32,-0.16
1613570886420,79.49,0.32,-0.16
1613570886421,79.49,0.32,-0.16
1613570886421,79.49,0.32,-0.16
1613570886421,79.49,0.32,-0.16
1613570886421,79.49,0.32,-0.16
1613570886421,79.49,0.32,-0.16
1613570886421,79.49,0.32,-0.16
1613570886421,79.49,0.32,-0.16
1613570886421,79.49,0.32,-0.16
1613570886421,79.49,0.32,-0.16
1613570886421,79.49,0.32,-0.16
1613570886422,79.51,0.35,0.41
1613570886460,79.51,0.35,0.41
1613570886460,79.51,0.35,0.41
1613570886460,79.51,0.35,0.41
1613570886460,79.51,0.35,0.41
1613570886460,79.51,0.35,0.41
1613570886460,79.51,0.35,0.41
1613570886461,79.51,0.35,0.41
1613570886461,79.51,0.35,0.41
1613570886461,79.51,0.35,0.41
1613570886461,79.51,0.35,0.41
1613570886461,79.51,0.35,0.41
1613570886462,79.51,0.35,0.41
1613570886462,79.51,0.35,0.41
1613570886462,79.51,0.35,0.41
1613570886462,79.51,0.35,0.41
1613570886462,79.51,0.35,0.41
1613570886462,79.53,0.5,0.11
1613570886499,79.53,0.5,0.11
1613570886499,79.53,0.5,0.11
1613570886499,79.53,0.5,0.11
1613570886499,79.53,0.5,0.11
1613570886499,79.53,0.5,0.11
1613570886499,79.53,0.5,0.11
1613570886500,79.53,0.5,0.11
1613570886500,79.53,0.5,0.11
1613570886500,79.53,0.5,0.11
1613570886500,79.53,0.5,0.11
1613570886500,79.53,0.5,0.11
1613570886501,79.53,0.5,0.11
1613570886501,79.53,0.5,0.11
1613570886501,79.53,0.5,0.11
1613570886501,79.53,0.5,0.11
1613570886501,79.53,0.5,0.11
1613570886501,79.53,0.5,0.11
1613570886501,79.54,0.34,-0.21
1613570886539,79.54,0.34,-0.21
1613570886539,79.54,0.34,-0.21
1613570886539,79.54,0.34,-0.21
1613570886539,79.54,0.34,-0.21
1613570886539,79.54,0.34,-0.21
1613570886539,79.54,0.34,-0.21
1613570886540,79.54,0.34,-0.21
1613570886541,79.54,0.34,-0.21
1613570886541,79.54,0.34,-0.21
1613570886541,79.54,0.34,-0.21
